timestamp,occ_pred,occ_true,T_pred,T_true,Q_hvac_pred,Q_hvac_true,T_out,energy_pred,energy_true
22487,0.8967652445593619,1.0,18.721612976736267,23.23726831392456,-5000.0,-5000.0,25.0,-0.050631870002902646,-0.046414158801135315
22488,0.8967652445593619,1.0,17.430141805436765,21.81265026450682,-5000.0,-5000.0,25.0,-0.05202075889179153,-0.0478030476900242
22489,0.8967652445593619,1.0,19.177414769276247,20.43077075657162,5000.0,-5000.0,25.0,-0.050631870002902646,-0.04919193657891309
22490,0.8967652445593619,1.0,20.872269544200545,19.09034763387447,5000.0,-5000.0,25.0,-0.049242981114013755,-0.05058082546780198
22491,0.8967652445593619,1.0,22.516278675877114,20.790137204858233,5000.0,5000.0,25.0,-0.047854092225124864,-0.04919193657891309
22492,0.8967652445593619,1.0,24.110967533603386,22.438933088712485,5000.0,5000.0,25.0,-0.04646520333623597,-0.0478030476900242
22493,0.8967652445593619,1.0,25.65781572559787,24.03826509605111,5000.0,5000.0,25.0,-0.04507631444734709,-0.046414158801135315
22494,0.9101580919720941,1.0,27.158559810899305,22.589617143169576,5000.0,-5000.0,25.0,-0.0436874255584582,-0.0478030476900242
22495,0.9101580919720941,1.0,25.614281573641698,21.18442862887449,-5000.0,-5000.0,25.0,-0.04507631444734709,-0.04919193657891309
22496,0.9101580919720941,1.0,24.11633168350182,22.166921162992764,-5000.0,2818.417976615039,25.0,-0.04646520333623597,-0.04840904269652002
22497,0.9101580919720941,1.0,22.663320290066135,21.028152933681646,-5000.0,-4154.201981404447,25.0,-0.047854092225124864,-0.04956298769135459
22498,0.9101580919720941,1.0,21.253899238433522,22.669808345671196,-5000.0,5000.0,25.0,-0.049242981114013755,-0.048174098802465704
22499,0.9101580919720941,1.0,19.886760818349888,23.932569677097085,-5000.0,3901.185272653415,25.0,-0.050631870002902646,-0.04709043622672864
22500,0.9101580919720941,0.0,18.560636550868765,22.46459258678417,-5000.0,-5000.0,25.0,-0.05202075889179153,-0.04847932511561753
22501,0.11699999999999999,0.0,17.256449954342703,21.040654809180644,-5000.0,-5000.0,25.0,-0.05340964778068042,-0.04986821400450642
22502,0.14075000000000001,0.0,18.99192333071242,19.659435164905226,5000.0,-5000.0,25.0,-0.05202075889179153,-0.05125710289339531
22503,0.0,0.0,20.67216563079105,21.31965210995807,5000.0,5000.0,25.0,-0.050631870002902646,-0.04986821400450642
22504,0.0,0.0,22.302000661867318,22.93006254665933,5000.0,5000.0,25.0,-0.049242981114013755,-0.04847932511561753
22505,0.0,0.0,23.8829406420113,24.492160670259548,5000.0,5000.0,25.0,-0.047854092225124864,-0.04709043622672864
22506,0.06536249374202123,0.0,25.417923078860156,23.00739585015176,5000.0,-5000.0,25.0,-0.04646520333623597,-0.04847932511561753
22507,0.06536249374202123,0.0,23.906856042603547,21.567173974647208,-5000.0,-5000.0,25.0,-0.047854092225124864,-0.04986821400450642
22508,0.06536249374202123,0.0,22.441121017434636,20.17015875540779,-5000.0,-5000.0,25.0,-0.049242981114013755,-0.05125710289339531
22509,0.06536249374202123,0.0,21.01935804302079,18.815053992745558,-5000.0,-5000.0,25.0,-0.050631870002902646,-0.0526459917822842
22510,0.06536249374202123,0.0,19.640247957839364,20.50060237296319,-5000.0,5000.0,25.0,-0.05202075889179153,-0.05125710289339531
22511,0.06536249374202123,0.0,21.30251117521338,22.135584301774294,5000.0,5000.0,25.0,-0.050631870002902646,-0.04986821400450642
22512,0.06536249374202123,0.0,22.914906496066173,23.721516772721067,5000.0,5000.0,25.0,-0.049242981114013755,-0.04847932511561753
22513,0.06536249374202123,0.0,24.478929957293385,25.259871269539435,5000.0,5000.0,25.0,-0.047854092225124864,-0.04709043622672864
22514,0.06536249374202123,0.0,22.99603271468378,23.752075131453253,-5000.0,-5000.0,25.0,-0.049242981114013755,-0.04847932511561753
22515,0.06536249374202123,0.0,21.55762238935246,22.289512877509654,-5000.0,-5000.0,25.0,-0.050631870002902646,-0.04986821400450642
22516,0.06536249374202123,0.0,20.16236437378108,20.870827491184365,-5000.0,-5000.0,25.0,-0.05202075889179153,-0.05125710289339531
22517,0.06536249374202123,0.0,18.808964098676842,19.494702666448834,-5000.0,-5000.0,25.0,-0.05340964778068042,-0.0526459917822842
22518,0.06994520035418299,0.0,20.496268942724505,21.15986158645537,5000.0,5000.0,25.0,-0.05202075889179153,-0.05125710289339531
22519,0.06994520035418299,0.0,22.132954641450738,22.77506573886171,5000.0,5000.0,25.0,-0.050631870002902646,-0.04986821400450642
22520,0.06994520035418299,0.0,23.720539769215186,24.341813766695857,5000.0,5000.0,25.0,-0.049242981114013755,-0.04847932511561753
22521,0.06994520035418299,0.0,25.2604973431467,22.861559353694982,5000.0,-5000.0,25.0,-0.047854092225124864,-0.04986821400450642
22522,0.06994520035418299,0.0,23.754256189860268,21.425712573084134,-5000.0,-5000.0,25.0,-0.049242981114013755,-0.05125710289339531
22523,0.06994520035418299,0.0,22.29320227117243,20.03294119589161,-5000.0,-5000.0,25.0,-0.050631870002902646,-0.0526459917822842
22524,0.06994520035418299,0.0,20.875979970045226,21.68195296001486,-5000.0,5000.0,25.0,-0.05202075889179153,-0.05125710289339531
22525,0.06994520035418299,0.0,19.501274337951838,23.281494371214414,-5000.0,5000.0,25.0,-0.05340964778068042,-0.04986821400450642
